response_id,question,response
1,What challenges did you face when accessing healthcare services in your area?,The consultation fee is too expensive.
2,What challenges did you face when accessing healthcare services in your area?,Staff were not friendly.
3,What challenges did you face when accessing healthcare services in your area?,I have to walk long distances to reach the clinic.
4,What challenges did you face when accessing healthcare services in your area?,The charges are beyond my income level.
5,What challenges did you face when accessing healthcare services in your area?,The charges are beyond my income level.
6,What challenges did you face when accessing healthcare services in your area?,There is no reliable transport to the clinic.
7,What challenges did you face when accessing healthcare services in your area?,I waited for many hours before being attended to.
8,What challenges did you face when accessing healthcare services in your area?,I have to walk long distances to reach the clinic.
9,What challenges did you face when accessing healthcare services in your area?,Too much delay before seeing a doctor.
10,What challenges did you face when accessing healthcare services in your area?,It takes hours to get to the hospital.
11,What challenges did you face when accessing healthcare services in your area?,Public transport is expensive.
12,What challenges did you face when accessing healthcare services in your area?,I received help without issues.
13,What challenges did you face when accessing healthcare services in your area?,The nurses were rude.
14,What challenges did you face when accessing healthcare services in your area?,The pharmacy had empty shelves.
15,What challenges did you face when accessing healthcare services in your area?,There are no diagnostic tools available.
16,What challenges did you face when accessing healthcare services in your area?,The drugs were out of stock.
17,What challenges did you face when accessing healthcare services in your area?,The hospital lacks proper equipment.
18,What challenges did you face when accessing healthcare services in your area?,Healthcare services are not affordable.
19,What challenges did you face when accessing healthcare services in your area?,Medicine prices are very high.
20,What challenges did you face when accessing healthcare services in your area?,Broken equipment delays treatment.
21,What challenges did you face when accessing healthcare services in your area?,The nurses were rude.
22,What challenges did you face when accessing healthcare services in your area?,I received help without issues.
23,What challenges did you face when accessing healthcare services in your area?,Healthcare services are not affordable.
24,What challenges did you face when accessing healthcare services in your area?,The charges are beyond my income level.
25,What challenges did you face when accessing healthcare services in your area?,Poor customer service at the facility.
26,What challenges did you face when accessing healthcare services in your area?,Broken equipment delays treatment.
27,What challenges did you face when accessing healthcare services in your area?,The health center is very far from my home.
28,What challenges did you face when accessing healthcare services in your area?,The queue was too long at the clinic.
29,What challenges did you face when accessing healthcare services in your area?,The nurses were rude.
30,What challenges did you face when accessing healthcare services in your area?,The health center is very far from my home.
31,What challenges did you face when accessing healthcare services in your area?,Bad roads make it hard to reach the hospital.
32,What challenges did you face when accessing healthcare services in your area?,Everything went smoothly.
33,What challenges did you face when accessing healthcare services in your area?,I was told to buy medicine elsewhere.
34,What challenges did you face when accessing healthcare services in your area?,Machines were not working.
35,What challenges did you face when accessing healthcare services in your area?,The nurses were rude.
36,What challenges did you face when accessing healthcare services in your area?,Essential medicines were unavailable.
37,What challenges did you face when accessing healthcare services in your area?,I have to walk long distances to reach the clinic.
38,What challenges did you face when accessing healthcare services in your area?,No problems accessing healthcare.
39,What challenges did you face when accessing healthcare services in your area?,Poor customer service at the facility.
40,What challenges did you face when accessing healthcare services in your area?,Transport to the hospital is difficult.
41,What challenges did you face when accessing healthcare services in your area?,The queue was too long at the clinic.
42,What challenges did you face when accessing healthcare services in your area?,We spent the whole day waiting.
43,What challenges did you face when accessing healthcare services in your area?,Bad roads make it hard to reach the hospital.
44,What challenges did you face when accessing healthcare services in your area?,I could not afford the treatment cost.
45,What challenges did you face when accessing healthcare services in your area?,Machines were not working.
46,What challenges did you face when accessing healthcare services in your area?,No problems accessing healthcare.
47,What challenges did you face when accessing healthcare services in your area?,The service was satisfactory.
48,What challenges did you face when accessing healthcare services in your area?,Staff were not friendly.
49,What challenges did you face when accessing healthcare services in your area?,It takes hours to get to the hospital.
50,What challenges did you face when accessing healthcare services in your area?,Poor customer service at the facility.
51,What challenges did you face when accessing healthcare services in your area?,Ambulances are not available.
52,What challenges did you face when accessing healthcare services in your area?,Bad roads make it hard to reach the hospital.
53,What challenges did you face when accessing healthcare services in your area?,I have to walk long distances to reach the clinic.
54,What challenges did you face when accessing healthcare services in your area?,I did not face any major challenges.
55,What challenges did you face when accessing healthcare services in your area?,I waited for many hours before being attended to.
56,What challenges did you face when accessing healthcare services in your area?,The drugs were out of stock.
57,What challenges did you face when accessing healthcare services in your area?,Ambulances are not available.
58,What challenges did you face when accessing healthcare services in your area?,Healthcare services are not affordable.
59,What challenges did you face when accessing healthcare services in your area?,Ambulances are not available.
60,What challenges did you face when accessing healthcare services in your area?,I received help without issues.
61,What challenges did you face when accessing healthcare services in your area?,Poor customer service at the facility.
62,What challenges did you face when accessing healthcare services in your area?,I waited for many hours before being attended to.
63,What challenges did you face when accessing healthcare services in your area?,The doctor did not listen to me.
64,What challenges did you face when accessing healthcare services in your area?,Medicine prices are very high.
